Stationsmessort:	Boden
Stationsname:	Beobachter Boden Lechtal (seit 1960)
Stationsnummer:	4307010351
Lokale Koordinaten X:	---
Lokale Koordinaten Y:	---
MPH:	1356
Parametername:	HS
Parametertyp:	SH
Name des Parametertyps:	Schneehöhe
Name der Zeitreihe:	20173/4307010351/HS/Cmd
Einheit der Zeitreihe:	cm
Regionale Koordinaten X:	170575,900258
Regionale Koordinaten Y:	238430,951147
Geografische Länge:	10,605
Geografische Breite:	47,2844
Datum;Uhrzeit;Wert[cm];Status des Werts
30.09.1993;07:00:00;---;255
01.10.1993;07:00:00;---;255
02.10.1993;07:00:00;---;255
03.10.1993;07:00:00;---;255
04.10.1993;07:00:00;---;255
05.10.1993;07:00:00;---;255
06.10.1993;07:00:00;---;255
07.10.1993;07:00:00;---;255
08.10.1993;07:00:00;---;255
09.10.1993;07:00:00;---;255
10.10.1993;07:00:00;---;255
11.10.1993;07:00:00;---;255
12.10.1993;07:00:00;---;255
13.10.1993;07:00:00;---;255
14.10.1993;07:00:00;---;255
15.10.1993;07:00:00;---;255
16.10.1993;07:00:00;---;255
17.10.1993;07:00:00;---;255
18.10.1993;07:00:00;---;255
19.10.1993;07:00:00;---;255
20.10.1993;07:00:00;---;255
21.10.1993;07:00:00;---;255
22.10.1993;07:00:00;---;255
23.10.1993;07:00:00;---;255
24.10.1993;07:00:00;---;255
25.10.1993;07:00:00;---;255
26.10.1993;07:00:00;---;255
27.10.1993;07:00:00;---;255
28.10.1993;07:00:00;---;255
29.10.1993;07:00:00;---;255
30.10.1993;07:00:00;---;255
31.10.1993;07:00:00;---;255
01.11.1993;07:00:00;---;255
02.11.1993;07:00:00;---;255
03.11.1993;07:00:00;---;255
04.11.1993;07:00:00;---;255
05.11.1993;07:00:00;---;255
06.11.1993;07:00:00;---;255
07.11.1993;07:00:00;---;255
08.11.1993;07:00:00;---;255
09.11.1993;07:00:00;---;255
10.11.1993;07:00:00;---;255
11.11.1993;07:00:00;---;255
12.11.1993;07:00:00;---;255
13.11.1993;07:00:00;---;255
14.11.1993;07:00:00;---;255
15.11.1993;07:00:00;---;255
16.11.1993;07:00:00;---;255
17.11.1993;07:00:00;---;255
18.11.1993;07:00:00;---;255
19.11.1993;07:00:00;---;255
20.11.1993;07:00:00;---;255
21.11.1993;07:00:00;---;255
22.11.1993;07:00:00;---;255
23.11.1993;07:00:00;---;255
24.11.1993;07:00:00;---;255
25.11.1993;07:00:00;---;255
26.11.1993;07:00:00;---;255
27.11.1993;07:00:00;---;255
28.11.1993;07:00:00;---;255
29.11.1993;07:00:00;---;255
30.11.1993;07:00:00;---;255
01.12.1993;07:00:00;---;255
02.12.1993;07:00:00;---;255
03.12.1993;07:00:00;---;255
04.12.1993;07:00:00;---;255
05.12.1993;07:00:00;---;255
06.12.1993;07:00:00;---;255
07.12.1993;07:00:00;---;255
08.12.1993;07:00:00;---;255
09.12.1993;07:00:00;---;255
10.12.1993;07:00:00;---;255
11.12.1993;07:00:00;---;255
12.12.1993;07:00:00;---;255
13.12.1993;07:00:00;50;200
14.12.1993;07:00:00;45;200
15.12.1993;07:00:00;45;200
16.12.1993;07:00:00;50;200
17.12.1993;07:00:00;64;200
18.12.1993;07:00:00;64;200
19.12.1993;07:00:00;58;200
20.12.1993;07:00:00;46;200
21.12.1993;07:00:00;40;200
22.12.1993;07:00:00;43;200
23.12.1993;07:00:00;46;200
24.12.1993;07:00:00;43;200
25.12.1993;07:00:00;56;200
26.12.1993;07:00:00;58;200
27.12.1993;07:00:00;56;200
28.12.1993;07:00:00;54;200
29.12.1993;07:00:00;54;200
30.12.1993;07:00:00;50;200
31.12.1993;07:00:00;48;200
01.01.1994;07:00:00;52;200
02.01.1994;07:00:00;66;200
03.01.1994;07:00:00;76;200
04.01.1994;07:00:00;72;200
05.01.1994;07:00:00;74;200
06.01.1994;07:00:00;70;200
07.01.1994;07:00:00;66;200
08.01.1994;07:00:00;62;200
09.01.1994;07:00:00;60;200
10.01.1994;07:00:00;60;200
11.01.1994;07:00:00;59;200
12.01.1994;07:00:00;60;200
13.01.1994;07:00:00;60;200
14.01.1994;07:00:00;59;200
15.01.1994;07:00:00;64;200
16.01.1994;07:00:00;66;200
17.01.1994;07:00:00;65;200
18.01.1994;07:00:00;72;200
19.01.1994;07:00:00;70;200
20.01.1994;07:00:00;68;200
21.01.1994;07:00:00;68;200
22.01.1994;07:00:00;67;200
23.01.1994;07:00:00;67;200
24.01.1994;07:00:00;62;200
25.01.1994;07:00:00;66;200
26.01.1994;07:00:00;60;200
27.01.1994;07:00:00;80;200
28.01.1994;07:00:00;81;200
